date,provider,draw_info,1st,2nd,3rd,special,consolation
Lotto Jackpot,2682/17,01-07-2017 (Sat) Draw No: 2682/17,,,,"Jackpot 1 RM 771,052.15 | Jackpot 2 RM 5,603.78 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 771,052.15 Jackpot 2 RM 5,603.78 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,847/17,02-07-2017 (Sun) Draw No: 847/17,1st Prize 首獎 2353 | 2nd Prize 二獎 0143 | 3rd Prize 三獎 3305 | ,9307 ---- 3048 6160 9471 0294 8049 2988 5311 0279 5599 ---- ----,0001 0519 5805 6928 3507 1242 1333 6228 0186 3017,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4564/17,02-07-2017 (Sun) Draw No: 4564/17,1st Prize 首獎 8362 | 2nd Prize 二獎 0203 | 3rd Prize 三獎 2825 | ,5956 4109 2886 2054 7459 9249 4430 1393 4987 2924,9416 0744 2338 8717 5295 7448 0303 7439 0790 7478,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 1,124,722.50 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 1,124,722.50"
4D Jackpot,4617/17,02-07-2017 (Sun) Draw No: 4617/17,1st 首獎 1809 Zodiac | 2nd 二獎 6222 | 3rd 三獎 7437 | ,2560 4571 4367 7760 2383 **** 5435 **** 0621 **** 5257 5848 8446,7549 6666 9201 0504 1415 8098 9283 4667 6662 0427,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 1809 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4617/17,02-07-2017 (Sun) Draw No: 4617/17,1st 22691 4th 2691 | 2nd 03481 5th 691 | 3rd 62434 6th 91 | 1st 831879 | 2nd 83187 or 31879 | 3rd 8318 or 1879 | ,,,"Jackpot RM 8,615,429.13 | Jackpot RM 20,428,253.26 | Jackpot RM 49,328,712.71 | ","Power Toto 6/55 Jackpot RM 8,615,429.13 Supreme Toto 6/58 Jackpot RM 20,428,253.26 Jackpot RM 49,328,712.71 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,847/17,02-07-2017 (Sun) Draw No: 847/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 8,985,224.63 | Jackpot 2 | Prize : RM 142,821.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 8,985,224.63 Jackpot 2 Prize : RM 142,821.00"
4D,4128,02-07-2017 (Sun) Draw No: 4128,1st Prize 首獎 8939 | 2nd Prize 二獎 6388 | 3rd Prize 三獎 8557 | ,1540 2001 3388 3792 3859 4993 5324 6866 7554 9244,0774 0943 1565 2040 2493 3329 3867 4672 7221 8463,,
4D,089/17,02-07-2017 (Sun) Draw No: 089/17,1st Prize 首獎 4822 | 2nd Prize 二獎 9488 | 3rd Prize 三獎 6424 | ,1103 7892 - 7693 8495 5395 1194 2553 - 4899 6070 - 0543,9836 0410 2587 9295 2307 7817 2103 3320 9521 7550,,
https://www.live4d2u.net/images/cashsweep,3776,02-07-2017 (Sun) Draw No: 3776,1st Prize 首獎 8183 | 2nd Prize 二獎 8318 | 3rd Prize 三獎 8763 | ,砂勞越大萬 Date: 02-07-2017 (Sun) Draw No: 3776 1st Prize 首獎 8183 2nd Prize 二獎 8318 3rd Prize 三獎 8763 5827 5622 7983 0909 4990 0441 9882 9177 9135 6681,5753 6722 7029 5514 7496 7866 0331 6880 9651 4245,,
4D Jackpot 3D,2683/17,02-07-2017 (Sun) Draw No: 2683/17,1st Prize 首獎 4094 | 2nd Prize 二獎 0519 | 3rd Prize 三獎 0786 | 1st Prize 首獎 825 | 2nd Prize 二獎 694 | 3rd Prize 三獎 711 | ,0634 2871   0667 1989 2464 1520 6725 8625 8986 2969,1411 8258 7766 2173 5265 5601 0418 9838 5546 8676,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2683/17,02-07-2017 (Sun) Draw No: 2683/17,,,,"Jackpot 1 RM 779,902.15 | Jackpot 2 RM 5,577.50 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 779,902.15 Jackpot 2 RM 5,577.50 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,849/17,05-07-2017 (Wed) Draw No: 849/17,1st Prize 首獎 3064 | 2nd Prize 二獎 9472 | 3rd Prize 三獎 7216 | ,---- 0376 7834 8066 ---- 1034 5955 0053 9399 7430 4631 4631 ----,9718 0927 5717 4807 1820 6306 2266 3532 0317 5342,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4566/17,05-07-2017 (Wed) Draw No: 4566/17,1st Prize 首獎 6075 | 2nd Prize 二獎 5838 | 3rd Prize 三獎 5762 | ,7821 1002 7951 2028 2167 9978 4170 2408 7353 0356,2033 7187 4983 0044 7180 7071 1810 7798 3709 0504,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 1,146,397.50 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 1,146,397.50"
4D Jackpot,4619/17,05-07-2017 (Wed) Draw No: 4619/17,1st 首獎 9722 Zodiac | 2nd 二獎 6913 | 3rd 三獎 1073 | ,1557 1190 4584 **** **** 9708 **** 4037 2372 9544 7721 2900 5965,0482 8812 8873 7012 8334 2085 0598 3219 5111 3834,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 9722 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4619/17,05-07-2017 (Wed) Draw No: 4619/17,1st 08041 4th 8041 | 2nd 92559 5th 041 | 3rd 26220 6th 41 | 1st 791557 | 2nd 79155 or 91557 | 3rd 7915 or 1557 | ,,,"Jackpot RM 8,789,162.69 | Jackpot RM 20,713,904.34 | Jackpot RM 50,143,228.56 | ","Power Toto 6/55 Jackpot RM 8,789,162.69 Supreme Toto 6/58 Jackpot RM 20,713,904.34 Jackpot RM 50,143,228.56 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,849/17,05-07-2017 (Wed) Draw No: 849/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 9,098,183.44Partially Won | Jackpot 2 | Prize : RM 182,827.24Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 9,098,183.44Partially Won Jackpot 2 Prize : RM 182,827.24Partially Won"
4D,4129,05-07-2017 (Wed) Draw No: 4129,1st Prize 首獎 8599 | 2nd Prize 二獎 7115 | 3rd Prize 三獎 8777 | ,0043 1936 3215 3910 3970 4253 5999 8027 8964 9952,0813 2157 2440 2500 2736 3802 4843 5419 6011 8126,,
4D,091/17,05-07-2017 (Wed) Draw No: 091/17,1st Prize 首獎 1314 | 2nd Prize 二獎 8777 | 3rd Prize 三獎 5885 | ,1685 9554 1429 - 0180 - 5587 4766 9724 9462 - 9467 3637,5586 2269 0725 6980 9168 1164 0465 1165 2888 4816,,
https://www.live4d2u.net/images/cashsweep,3778,05-07-2017 (Wed) Draw No: 3778,1st Prize 首獎 6992 | 2nd Prize 二獎 4787 | 3rd Prize 三獎 9718 | ,砂勞越大萬 Date: 05-07-2017 (Wed) Draw No: 3778 1st Prize 首獎 6992 2nd Prize 二獎 4787 3rd Prize 三獎 9718 6727 5964 7719 0824 0986 8407 0442 9412 1135 4616,1485 4530 3820 2808 0328 4017 1103 6150 1917 7930,,
4D Jackpot 3D,2685/17,05-07-2017 (Wed) Draw No: 2685/17,1st Prize 首獎 7114 | 2nd Prize 二獎 4443 | 3rd Prize 三獎 6647 | 1st Prize 首獎 308 | 2nd Prize 二獎 464 | 3rd Prize 三獎 325 | ,5222     4336 0182 9642   6066 7106 9871 0194 6276 8914,3778 1941 5195 0185 4675 7440 1897 1960 2419 8181,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2685/17,05-07-2017 (Wed) Draw No: 2685/17,,,,"Jackpot 1 RM 796,700.92 | Jackpot 2 RM 6,597.32 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 796,700.92 Jackpot 2 RM 6,597.32 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,850/17,08-07-2017 (Sat) Draw No: 850/17,1st Prize 首獎 7857 | 2nd Prize 二獎 2695 | 3rd Prize 三獎 0443 | ,0443 6677 ---- 4647 ---- 1804 1942 4970 ---- 9878 1799 0587 5164,8643 4752 0902 5497 5260 4036 5734 8867 6821 6490,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4567/17,08-07-2017 (Sat) Draw No: 4567/17,1st Prize 首獎 8807 | 2nd Prize 二獎 0281 | 3rd Prize 三獎 8862 | ,1449 8921 9964 7693 3908 3844 3716 9524 8481 4107,3306 3734 0154 4958 0612 9663 7045 4035 8074 2589,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | 3D Jackpot Prize RM 1,158,453.80Won | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 1,158,453.80Won"
4D Jackpot,4620/17,08-07-2017 (Sat) Draw No: 4620/17,1st 首獎 6683 Zodiac | 2nd 二獎 0743 | 3rd 三獎 7295 | ,5487 **** 3910 3752 9407 **** 6764 9049 6021 1538 3317 4873 ****,3590 8008 5702 9659 8454 9798 4062 4210 2667 2476,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 6683 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4620/17,08-07-2017 (Sat) Draw No: 4620/17,1st 23054 4th 3054 | 2nd 06079 5th 054 | 3rd 40391 6th 54 | 1st 156209 | 2nd 15620 or 56209 | 3rd 1562 or 6209 | ,,,"Jackpot RM 8,891,615.40 | Jackpot RM 20,886,114.24 | Jackpot RM 50,698,706.34 | ","Power Toto 6/55 Jackpot RM 8,891,615.40 Supreme Toto 6/58 Jackpot RM 20,886,114.24 Jackpot RM 50,698,706.34 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,850/17,08-07-2017 (Sat) Draw No: 850/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 8,479,552.32 | Jackpot 2 | Prize : RM 150,551.05Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 8,479,552.32 Jackpot 2 Prize : RM 150,551.05Partially Won"
4D,4130,08-07-2017 (Sat) Draw No: 4130,1st Prize 首獎 4952 | 2nd Prize 二獎 3336 | 3rd Prize 三獎 3504 | ,1373 1697 3905 4321 4403 4818 6693 7132 7315 9477,1560 2819 3980 4781 5019 5202 5935 8043 8246 8956,,
4D,092/17,08-07-2017 (Sat) Draw No: 092/17,1st Prize 首獎 0435 | 2nd Prize 二獎 4425 | 3rd Prize 三獎 9431 | ,- 1465 2785 9081 8538 2899 7439 9417 0130 - 1488 - 2489,2495 2451 4455 0281 2435 0359 0882 8807 2772 2133,,
https://www.live4d2u.net/images/cashsweep,3779,08-07-2017 (Sat) Draw No: 3779,1st Prize 首獎 9421 | 2nd Prize 二獎 2355 | 3rd Prize 三獎 6765 | ,砂勞越大萬 Date: 08-07-2017 (Sat) Draw No: 3779 1st Prize 首獎 9421 2nd Prize 二獎 2355 3rd Prize 三獎 6765 5629 8266 2666 9004 4171 6399 5546 9850 1145 9270,4971 2239 9504 9389 5182 3663 2440 3857 8426 3515,,
4D Jackpot 3D,2686/17,08-07-2017 (Sat) Draw No: 2686/17,1st Prize 首獎 3989 | 2nd Prize 二獎 7667 | 3rd Prize 三獎 2949 | 1st Prize 首獎 513 | 2nd Prize 二獎 884 | 3rd Prize 三獎 389 | ,4633     0122 4260 2514 7607 1002 3056 6684 8054 3361,5086 6023 0318 3068 7156 8969 6340 0783 1808 1521,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2686/17,08-07-2017 (Sat) Draw No: 2686/17,,,,"Jackpot 1 RM 805,553.12 | Jackpot 2 RM 7,175.15 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 805,553.12 Jackpot 2 RM 7,175.15 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,851/17,09-07-2017 (Sun) Draw No: 851/17,1st Prize 首獎 0819 | 2nd Prize 二獎 1022 | 3rd Prize 三獎 4474 | ,2317 ---- 4050 3637 3500 ---- 2254 0117 7552 ---- 4930 2820 3599,8309 4118 9052 5706 2289 8071 9103 3430 0158 3603,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4568/17,09-07-2017 (Sun) Draw No: 4568/17,1st Prize 首獎 7817 | 2nd Prize 二獎 8292 | 3rd Prize 三獎 6789 | ,8558 6758 4482 1280 2713 9100 4092 7766 7643 2163,0926 9221 5285 0259 7602 7250 7195 0004 9680 7971,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 610,072.30 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 610,072.30"
4D Jackpot,4621/17,09-07-2017 (Sun) Draw No: 4621/17,1st 首獎 5085 Zodiac | 2nd 二獎 0722 | 3rd 三獎 7062 | ,8812 **** 9918 8188 0007 **** 5172 1674 6553 4348 2584 **** 2227,5280 8252 4488 0526 2216 8780 3613 0456 6508 8957,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 5085 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4621/17,09-07-2017 (Sun) Draw No: 4621/17,1st 32495 4th 2495 | 2nd 45706 5th 495 | 3rd 30928 6th 95 | 1st 500305 | 2nd 50030 or 00305 | 3rd 5003 or 0305 | ,,,"Jackpot RM 8,994,706.96 | Jackpot RM 21,060,963.92 | Jackpot RM 51,225,576.97 | ","Power Toto 6/55 Jackpot RM 8,994,706.96 Supreme Toto 6/58 Jackpot RM 21,060,963.92 Jackpot RM 51,225,576.97 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,851/17,09-07-2017 (Sun) Draw No: 851/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 8,538,202.49 | Jackpot 2 | Prize : RM 160,031.66Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 8,538,202.49 Jackpot 2 Prize : RM 160,031.66Partially Won"
4D,4131,09-07-2017 (Sun) Draw No: 4131,1st Prize 首獎 5467 | 2nd Prize 二獎 0733 | 3rd Prize 三獎 0106 | ,0994 1324 1694 3335 5214 5981 6287 6428 8270 9248,0146 0663 1005 1977 2197 3322 5053 5336 7937 9893,,
4D,093/17,09-07-2017 (Sun) Draw No: 093/17,1st Prize 首獎 2327 | 2nd Prize 二獎 7604 | 3rd Prize 三獎 2280 | ,0480 4869 7085 0683 0930 9138 1182 3495 - - - 0433 6876,1585 9965 8488 9850 2724 8769 1165 0761 2421 5160,,
https://www.live4d2u.net/images/cashsweep,3780,09-07-2017 (Sun) Draw No: 3780,1st Prize 首獎 3260 | 2nd Prize 二獎 4675 | 3rd Prize 三獎 0184 | ,砂勞越大萬 Date: 09-07-2017 (Sun) Draw No: 3780 1st Prize 首獎 3260 2nd Prize 二獎 4675 3rd Prize 三獎 0184 3047 7931 3397 0810 8678 9025 9567 3266 4951 8813,1195 6959 0925 3554 2294 2129 6206 1477 5906 8174,,
4D Jackpot 3D,2687/17,09-07-2017 (Sun) Draw No: 2687/17,1st Prize 首獎 2497 | 2nd Prize 二獎 5399 | 3rd Prize 三獎 1018 | 1st Prize 首獎 617 | 2nd Prize 二獎 527 | 3rd Prize 三獎 269 | ,1210 1968   6898 1398 4453 4197 0047 1106 6407 7056,4725 6317 2915 7462 4101 1411 4646 0823 6737 8994,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2687/17,09-07-2017 (Sun) Draw No: 2687/17,,,,"Jackpot 1 RM 814,404.44 | Jackpot 2 RM 7,752.85 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 814,404.44 Jackpot 2 RM 7,752.85 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,852/17,12-07-2017 (Wed) Draw No: 852/17,1st Prize 首獎 3810 | 2nd Prize 二獎 2266 | 3rd Prize 三獎 5032 | ,7120 1670 1884 ---- 2673 8860 ---- 8676 ---- 9431 6773 4339 5158,3369 6672 6299 0671 0037 3818 7768 0643 4966 1984,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4569/17,12-07-2017 (Wed) Draw No: 4569/17,1st Prize 首獎 7903 | 2nd Prize 二獎 4943 | 3rd Prize 三獎 4093 | ,3135 1665 2828 2835 4210 6119 7904 1319 3568 3614,7061 8572 2843 1755 6675 6176 4803 2154 2453 8169,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 619,938.90 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 619,938.90"
4D Jackpot,4622/17,12-07-2017 (Wed) Draw No: 4622/17,1st 首獎 4477 Zodiac | 2nd 二獎 9154 | 3rd 三獎 2541 | ,0329 5901 1158 3605 **** 8982 5815 0619 6410 **** 4389 **** 6682,6836 4296 7095 4482 5326 0477 2203 2534 3565 9312,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 4477 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4622/17,12-07-2017 (Wed) Draw No: 4622/17,1st 73829 4th 3829 | 2nd 19155 5th 829 | 3rd 80757 6th 29 | 1st 151141 | 2nd 15114 or 51141 | 3rd 1511 or 1141 | ,,,"Jackpot RM 9,099,265.70 | Jackpot RM 21,236,668.02 | Jackpot RM 51,799,261.51 | ","Power Toto 6/55 Jackpot RM 9,099,265.70 Supreme Toto 6/58 Jackpot RM 21,236,668.02 Jackpot RM 51,799,261.51 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,852/17,12-07-2017 (Wed) Draw No: 852/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 8,601,471.81 | Jackpot 2 | Prize : RM 166,436.37Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 8,601,471.81 Jackpot 2 Prize : RM 166,436.37Partially Won"
4D,4132,12-07-2017 (Wed) Draw No: 4132,1st Prize 首獎 1099 | 2nd Prize 二獎 4141 | 3rd Prize 三獎 8040 | ,0163 2127 2147 3690 4629 4733 6107 6658 7363 8229,1932 2107 2682 3037 3486 3821 5781 6440 8452 9506,,
4D,094/17,12-07-2017 (Wed) Draw No: 094/17,1st Prize 首獎 0415 | 2nd Prize 二獎 1429 | 3rd Prize 三獎 1416 | ,9674 0488 0472 9256 - 9464 - 6066 2878 1335 0435 3289 -,9435 0034 9307 1263 0330 4485 0736 9390 5319 6485,,
https://www.live4d2u.net/images/cashsweep,3781,12-07-2017 (Wed) Draw No: 3781,1st Prize 首獎 5266 | 2nd Prize 二獎 4998 | 3rd Prize 三獎 1840 | ,砂勞越大萬 Date: 12-07-2017 (Wed) Draw No: 3781 1st Prize 首獎 5266 2nd Prize 二獎 4998 3rd Prize 三獎 1840 6854 4196 4571 7390 2992 3750 5204 8743 8164 0709,0766 5628 2664 0334 2490 0688 0329 8859 1319 7831,,
4D Jackpot 3D,2688/17,12-07-2017 (Wed) Draw No: 2688/17,1st Prize 首獎 9513 | 2nd Prize 二獎 7842 | 3rd Prize 三獎 2136 | 1st Prize 首獎 793 | 2nd Prize 二獎 574 | 3rd Prize 三獎 077 | ,4991 3512 6291 8543 4792 5403 6077     4844 4908 1716,3858 8970 4551 0413 2359 0107 8463 4111 5789 0074,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2688/17,12-07-2017 (Wed) Draw No: 2688/17,,,,"Jackpot 1 RM 823,507.22 | Jackpot 2 RM 8,368.27 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 823,507.22 Jackpot 2 RM 8,368.27 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,853/17,15-07-2017 (Sat) Draw No: 853/17,1st Prize 首獎 7686 | 2nd Prize 二獎 4206 | 3rd Prize 三獎 8549 | ,---- 2822 2572 ---- 1474 6690 2344 5960 7591 2442 4533 ---- 5691,4442 6025 1534 7615 1548 7409 3304 6825 3505 0888,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4570/17,15-07-2017 (Sat) Draw No: 4570/17,1st Prize 首獎 4077 | 2nd Prize 二獎 4481 | 3rd Prize 三獎 3888 | ,1672 9384 9001 7604 8502 6112 2321 3929 1720 7081,1194 0464 0785 2499 6716 0433 1545 2073 8494 3528,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | 3D Jackpot Prize RM 629,808.50 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 629,808.50"
4D Jackpot,4623/17,15-07-2017 (Sat) Draw No: 4623/17,1st 首獎 2267 Zodiac | 2nd 二獎 3560 | 3rd 三獎 3339 | ,4217 6638 **** **** 2017 **** 3505 0727 6290 4889 1691 9236 5529,3812 3083 7256 9211 5243 6163 7135 3547 2376 9251,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 2267 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4623/17,15-07-2017 (Sat) Draw No: 4623/17,1st 39824 4th 9824 | 2nd 47721 5th 824 | 3rd 45945 6th 24 | 1st 886601 | 2nd 88660 or 86601 | 3rd 8866 or 6601 | ,,,"Jackpot RM 9,206,755.23 | Jackpot RM 21,416,923.81 | Jackpot RM 52,382,752.28 | ","Power Toto 6/55 Jackpot RM 9,206,755.23 Supreme Toto 6/58 Jackpot RM 21,416,923.81 Jackpot RM 52,382,752.28 Power Toto 6/55 | Supreme Toto 6/58 |"
Jackpot,853/17,15-07-2017 (Sat) Draw No: 853/17,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 8,665,630.15 | Jackpot 2 | Prize : RM 164,193.65Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 8,665,630.15 Jackpot 2 Prize : RM 164,193.65Partially Won"
4D,4133,15-07-2017 (Sat) Draw No: 4133,1st Prize 首獎 7348 | 2nd Prize 二獎 3669 | 3rd Prize 三獎 9358 | ,1765 1792 2549 3407 4296 5956 6740 7892 9795 9931,1041 1598 3347 3723 3962 5775 5891 6775 9556 9924,,
4D,095/17,15-07-2017 (Sat) Draw No: 095/17,1st Prize 首獎 4330 | 2nd Prize 二獎 6469 | 3rd Prize 三獎 0043 | ,1708 8401 - - 4172 9443 9975 6299 4638 5874 2324 - 2209,2319 7610 0852 6198 2957 7152 7832 3832 6366 7370,,
https://www.live4d2u.net/images/cashsweep,3782,15-07-2017 (Sat) Draw No: 3782,1st Prize 首獎 0647 | 2nd Prize 二獎 1078 | 3rd Prize 三獎 6275 | ,砂勞越大萬 Date: 15-07-2017 (Sat) Draw No: 3782 1st Prize 首獎 0647 2nd Prize 二獎 1078 3rd Prize 三獎 6275 4975 7205 2781 7410 8058 6160 6280 6503 9495 2920,4867 0329 1285 7353 2560 8157 8649 5180 1100 1013,,
4D Jackpot 3D,2689/17,15-07-2017 (Sat) Draw No: 2689/17,1st Prize 首獎 7380 | 2nd Prize 二獎 8778 | 3rd Prize 三獎 9043 | 1st Prize 首獎 107 | 2nd Prize 二獎 187 | 3rd Prize 三獎 292 | ,2178 6619 3745 0645 7554 2865 1255 7488 0053 3728,4022 3695 3455 4309 4813 0720 3992 0877 4652 7115,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,2689/17,15-07-2017 (Sat) Draw No: 2689/17,,,,"Jackpot 1 RM 832,461.06 | Jackpot 2 RM 8,961.35 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 832,461.06 Jackpot 2 RM 8,961.35 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,854/17,16-07-2017 (Sun) Draw No: 854/17,1st Prize 首獎 5602 | 2nd Prize 二獎 6972 | 3rd Prize 三獎 7410 | ,3652 ---- ---- 6176 0175 0008 9783 6419 ---- 4517 4285 3052 1737,2224 3402 2983 4723 0366 7559 8665 8145 3345 1089,4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
