date,provider,draw_info,1st,2nd,3rd,special,consolation
https://www.live4d2u.net/images/cashsweep,4126,29-06-2019 (Sat) Draw No: 4126,1st Prize 首獎 1890 | 2nd Prize 二獎 4432 | 3rd Prize 三獎 6315 | ,砂勞越大萬 Date: 29-06-2019 (Sat) Draw No: 4126 1st Prize 首獎 1890 2nd Prize 二獎 4432 3rd Prize 三獎 6315 5600 8014 4205 5880 3012 6904 1295 3963 8264 6552,9356 0449 4879 2528 6390 6717 0795 1353 4185 0423,,
4D Jackpot 3D,3033/19,29-06-2019 (Sat) Draw No: 3033/19,1st Prize 首獎 0974 | 2nd Prize 二獎 2381 | 3rd Prize 三獎 3083 | 1st Prize 首獎 855 | 2nd Prize 二獎 894 | 3rd Prize 三獎 968 | ,8597 4292 7433 8958 8296 7420 3054 2840 6516 6156,7518 6337 6267 7484 9646 6472 6248 8168 0066 2650,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,3033/19,29-06-2019 (Sat) Draw No: 3033/19,,,,"Jackpot 1 RM 505,916.35 | Jackpot 2 RM 18,510.59 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 505,916.35 Jackpot 2 RM 18,510.59 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,204/19,30-06-2019 (Sun) Draw No: 204/19,1st Prize 首獎 0236 | 2nd Prize 二獎 7472 | 3rd Prize 三獎 6113 | ,4339 7880 9539 5225 ---- 8020 3760 9072 8429 ---- 2368 0468 ----,5597 1063 0046 7257 9503 9325 9498 9988 1936 2223,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won RM 439,764.44 | ",4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4915/19,30-06-2019 (Sun) Draw No: 4915/19,1st Prize 首獎 7993 | 2nd Prize 二獎 4211 | 3rd Prize 三獎 5001 | ,9132 5059 6582 2341 8238 6525 5966 2934 7319 4409,2993 5152 1344 3974 4648 9294 4796 2133 2647 4550,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 985,447.30 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 985,447.30"
4D Jackpot,4968/19,30-06-2019 (Sun) Draw No: 4968/19,1st 首獎 4258 Zodiac | 2nd 二獎 7794 | 3rd 三獎 7001 | ,**** 2835 3867 **** 1889 1072 4613 5501 0628 5612 4563 **** 2588,4255 8029 6986 2280 3919 0956 0812 6005 9503 4618,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 4258 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4968/19,30-06-2019 (Sun) Draw No: 4968/19,1st 51338 4th 1338 | 2nd 70224 5th 338 | 3rd 09759 6th 38 | 1st 970325 | 2nd 97032 or 70325 | 3rd 9703 or 0325 | ,,,"Jackpot 1 RM 3,734,691.59Won | Jackpot 2 RM 233,024.81 | Jackpot RM 4,393,787.05 | Jackpot RM 30,408,206.80 | ","Star Toto 6/50 Jackpot 1 RM 3,734,691.59Won Jackpot 2 RM 233,024.81 Power Toto 6/55 Jackpot RM 4,393,787.05 Supreme Toto 6/58 Jackpot RM 30,408,206.80 Star Toto 6/50 | Power Toto 6/55 | Supreme Toto 6/58 |"
3D,4915/19,30-06-2019 (Sun) Draw No: 4915/19,"1st 首獎 907993 BOAR | Bonus 1 RM 1,463,268.00 | 2nd 二獎 674211 MONKEY | Bonus 2 RM 2,449,833.30 | 3rd 三獎 105001 RABBIT | Bonus 3 RM 264,722.10 | ",249132 205059 296582 182341 648238 966525 085966 482934 367319 784409,802993 225152 601344 633974 354648 199294 274796 932133 892647 454550,"Bonus 1 RM 1,463,268.00 | Bonus 2 RM 2,449,833.30 | Bonus 3 RM 264,722.10 | ","Bonus 1 RM 1,463,268.00 Bonus 2 RM 2,449,833.30 Bonus 3 RM 264,722.10"
Life,204/19,30-06-2019 (Sun) Draw No: 204/19,Bonus Numbers | 2nd Prize | ,,,Bonus Numbers | Grand Prize | ,Bonus Numbers Grand Prize
Jackpot,204/19,30-06-2019 (Sun) Draw No: 204/19,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 10,332,708.13 | Jackpot 2 | Prize : RM 126,410.10Partially Won | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 10,332,708.13 Jackpot 2 Prize : RM 126,410.10Partially Won"
